,mean_F7,max_F7,min_F7,std_F7,iqr_F7,var_F7,sum_F7,skw_F7,krt_F7,mean_first_diff_F7,mean_second_diff_F7,rms_F7,abssum_F7,ssi_F7,var_F7.1,mav_F7,log_F7,aac_F7,dasdv_F7,dfa_F7,fuzzy_F7,shannon_F7,pe_F7,hjorth_F7,hurst_F7,label
12,0.21645176103860603,0.0767461796141004,0.3614165383895645,0.08078516075639011,0.20089458421113776,0.017199187510377804,0.07638810239240132,0.28717779528497567,0.15447818494714965,0.21963081132725518,0.17816263352635806,0.1506309845980676,0.07638810239240132,0.02607434444212158,0.06675152455903409,0.21645176103860603,0.354882256084998,0.2047207517778586,0.13010805679608142,0.04676948917818119,1.0,0.9662857500536574,0.30102999566398125,0.6171770574962313,0.22184103954430862,2
0,0.7687601534993059,0.3249047711068465,1.0,0.23065061029724435,0.4510016947790616,0.1163650622322333,0.29887908885012393,0.5762694470588763,0.22938903841784006,0.256903922732516,0.220234988354236,0.5430190995839207,0.29887908885012393,0.24919483646110532,0.6180966114961493,0.7687601534993059,1.0,0.22869988493155768,0.20026060353262948,0.33628980920750695,0.08472933421240718,0.23454583255966413,0.15051499783199063,0.5447033462120299,0.23427082927128426,1
22,0.19514500190128595,0.23958762085953716,0.012768319176764652,0.21173252700230963,0.47690497429369705,0.09902670991557848,0.25282117249048736,0.6853371991248198,0.4838109026083039,0.17326634655098355,0.1949109443044671,0.20564447324814827,0.25282117249048736,0.12910503867581782,0.09791275498998182,0.19514500190128595,0.08395677470148909,0.1773892717838138,0.19074499948235402,0.537620889726146,0.13422768644355046,0.4000804233727485,0.7982510515149295,0.454043123181007,0.8490046267668598,2
6,0.3712911568664749,0.17052343455178176,0.4585434176319835,0.19777640891487008,0.5326008197533756,0.08712870398760823,0.13876334490279224,0.4065008229872726,0.04632871938012555,0.23580291877466772,0.20819962362772046,0.28566895406516246,0.13876334490279224,0.07785850293673409,0.19471351096747339,0.3712911568664749,0.5261635468262639,0.2396305813624162,0.16841981665605674,0.3004954967336197,0.2541275685545707,0.7223724442223263,0.30102999566398125,0.5381723602339302,0.2986384398891865,1
20,0.048392796802715424,0.055799783564772595,0.0025261040427366293,0.06587148689458716,0.20297450030542727,0.012112538851104804,0.1062221090107783,0.5185583710038847,0.16143440152496905,0.07216993421247603,0.11270336719680267,0.049009863480587654,0.1062221090107783,0.020324477880640093,0.011138972368321527,0.048392796802715424,0.01770680322398943,0.07142307269561889,0.07084171337827355,0.032688344834619125,0.19382552764142538,0.8449652134605835,0.7185253272434097,0.5480498842946104,0.8690601756688513,2
17,0.12387143247019404,0.12738074949422099,0.004961671044600642,0.13489734793432917,0.37075324229553697,0.04292320453873458,0.20757439899573332,0.5505148268454533,0.18457418400609396,0.09437912038722727,0.11301670402166951,0.1261636293020038,0.20757439899573332,0.07063344235286603,0.04385389002472262,0.12387143247019404,0.04560080489652665,0.08167771591103244,0.08470558352071143,0.06661332289119704,0.17847125147114065,0.7782234930702963,0.8352822658240681,0.22680518142170983,0.8683450992066739,2
23,0.2057438016302585,0.23958762085953716,0.010777662366675836,0.20605286120038402,0.5071319377347567,0.0940931588486452,0.3175121585681612,0.6314708575443122,0.4212928305910106,0.16546154974188515,0.20270723563922682,0.2076952178695417,0.3175121585681612,0.15482298688661392,0.09860067413855611,0.2057438016302585,0.08488307720719672,0.15568938022831869,0.1737993395489278,0.03714899489307254,0.12584913569781828,0.43964579231528955,0.803334610903647,0.3325929833544686,1.0,2
10,0.3191160406859122,0.21511593098416418,0.015470055961551375,0.2793584850940375,0.8454039958603977,0.16741493672318256,0.3943186476010756,0.4395703482845266,0.024999704998044728,0.12406747190326223,0.08134794349155694,0.3047624745169125,0.3943186476010756,0.25177143822830145,0.19263668099732034,0.3191160406859122,0.1624773554955879,0.12683728704527747,0.11401411925258015,0.7846370955812925,0.11072441640701558,0.5550650842789083,0.6681480519485314,0.2317638131278548,0.9972456988674389,1
18,0.13001828042438596,0.061760787658623986,0.30779124063351737,0.06835453427180041,0.15887618510484663,0.012899380179905238,0.041569384032620754,0.4887447003622171,0.13492842886765533,0.1451987384430906,0.16620935577593457,0.09320369128247147,0.041569384032620754,0.012003813495251491,0.03198233756973053,0.13001828042438596,0.2190581489374877,0.13709663773548472,0.1067622334879084,0.0724482946705526,1.0,0.9662857500536574,0.30102999566398125,0.832079976271467,0.09335895244114048,2
8,0.06723626722393461,0.09313971712449666,0.0,0.10064143902987781,0.2037106359850794,0.025315005330375645,0.1315250157414734,0.6759297900610799,0.32927065002880146,0.10854181668456447,0.15210535594062868,0.0789966390948934,0.1315250157414734,0.03648588311936632,0.021648412328838854,0.06723626722393461,0.0,0.09935803711412095,0.11006156636812273,0.06293341053790744,0.1610462026625755,0.6987726745654554,0.9021652514092062,0.5915643435525018,0.6520996364669992,1
14,0.07871565218690667,0.0767461796141004,0.012582113737831838,0.10615973278949402,0.29111596425011815,0.027842945568568492,0.14693946969029295,0.5555738310962184,0.12413840151073752,0.0771268532652909,0.07104284369590189,0.08762006566280807,0.14693946969029295,0.04193193246959351,0.025189869759228618,0.07871565218690667,0.025181181926291974,0.06276215830768375,0.06399978798481311,0.051658186575779655,0.14129208745145194,0.683039464131802,0.8814326570884307,0.2598683148587367,0.960668407558541,2
7,0.06762207732025882,0.09313971712449666,0.004195845315258793,0.10573941763998904,0.17707635683500558,0.0276462290776875,0.10726966284893892,0.686241482211267,0.3203696505389868,0.096134374016791,0.125007772980084,0.08207119671008443,0.10726966284893892,0.03226638120177482,0.023133207708197077,0.06762207732025882,0.013832013001254369,0.09846611708954653,0.11471974274004465,0.25182107277880433,0.18209759642377898,0.6307297438634435,0.8916292015609669,0.6192446113423792,0.5653562730734887,1
19,0.04957684768726375,0.055799783564772595,0.013065712540853137,0.06728868575920917,0.20239394470847333,0.012558689242059039,0.08667328440529702,0.5230922896876559,0.1701999086649929,0.06444128162229695,0.09456300225588743,0.05019197169321833,0.08667328440529702,0.017385635463526786,0.011642182754450595,0.04957684768726375,0.025337211359999775,0.06591613992048984,0.06923304543592956,0.19138668642781081,0.21894789886919686,0.8125036688369448,0.6722471989593555,0.6090108718732749,0.8018418933803795,2
3,0.1875113942851859,0.06382506971451873,0.08927023964799637,0.08960705974259647,0.22756839965986952,0.020615533125424603,0.06472981358978297,0.14081350046455543,0.1775546403701165,0.26825778284346574,0.4146282756778978,0.1355525210326406,0.06472981358978297,0.02192050831605736,0.05648712831589319,0.1875113942851859,0.24910116047208286,0.2138853860334955,0.1624693106252617,0.12664916433124335,1.0,0.7223724442223263,0.30102999566398125,0.652001628164112,0.12099615268300973,1
4,0.072611316249501,0.07909736115618596,0.011636188968932247,0.08809709852986569,0.21925635307680114,0.020009306447541994,0.11296425666804605,0.6161113361827641,0.24716633034769928,0.045081440086428975,0.05374425083698811,0.07350971849258293,0.11296425666804605,0.027863083755179794,0.019732947954578788,0.072611316249501,0.05561738495526301,0.04633938608915218,0.04830897956706543,0.2256492565127553,0.1289594701151451,0.41270594108552666,0.8268783267981092,0.4857042189125508,0.5627237196016844,1
15,0.21541869291385787,0.10312146188368333,0.2644078170546361,0.12007969490719894,0.3036225939305245,0.0347461981816354,0.07597194296174482,0.38066340797879394,0.09316470039090428,0.24507832596317847,0.2748162264549179,0.16355181796200924,0.07597194296174482,0.029894062067315163,0.07619029249594957,0.21541869291385787,0.3090062238949818,0.2679562856335475,0.18233321414428302,0.16233725117944509,1.0,0.9662857500536574,0.30102999566398125,0.8260284254581299,0.2783914697163811,2
36,0.8432971489425866,0.26150296987152,1.0,0.21706697415799067,0.2762433242780442,0.10377471601132118,0.3289054470770638,0.0,0.3545665316414809,0.39519888605761216,0.46068749971039424,0.5879205384394107,0.3289054470770638,0.2888525868058464,0.7160934633930666,0.8432971489425866,1.0,0.37959566948554996,0.35626436182328575,0.31492541569810023,0.24193660573986656,0.6303088911306025,0.30102999566398125,0.3263478397891221,0.232899646886908,2
24,0.264914397126544,0.11524591892601772,0.6105629196265648,0.10608114376731857,0.25508775576231674,0.027806111967084633,0.09591070942994365,0.4363740771660046,0.15134823120626137,0.31151061679757874,0.32129052261513946,0.18864869439447862,0.09591070942994365,0.037999738271865764,0.09621993975623715,0.264914397126544,0.43063342080830597,0.2803337699753343,0.1813902478162786,0.0900570627194775,1.0,0.7223724442223263,0.30102999566398125,0.5774029425988105,0.1263733007059089,1
